query_name	query_start	query_end	query_length	reference_name	reference_start	reference_end	perID_by_matches	perID_by_events	perID_by_all	matches	mismatches	insertions	deletions	insertion_events	deletion_events
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	155664	160451	100.0	100.0	100.0	4787	0	0	0	0	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	161619	166406	100.0	100.0	100.0	4787	0	0	0	0	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	150109	154898	100.0	99.97911445279867	99.95823762789726	4787	0	0	2	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	161210	165999	100.0	99.97911445279867	99.95823762789726	4787	0	0	2	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__mat__ID.1	150150	154939	100.0	99.97911445279867	99.95823762789726	4787	0	0	2	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	155655	160444	100.0	99.97911445279867	99.95823762789726	4787	0	0	2	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	156064	160853	100.0	99.97911445279867	99.95823762789726	4787	0	0	2	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__mat__ID.1	144599	149384	100.0	99.97910572503135	99.95822017965322	4785	0	2	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	138993	143784	100.0	99.97911445279867	99.91651012314757	4787	0	0	4	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	144952	149743	99.97911008982662	99.95822890559732	99.89563765393446	4786	1	0	4	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	144537	149330	99.97911008982662	99.95822890559732	99.85395368245358	4786	1	0	6	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__mat__ID.1	155705	160494	99.93733026947984	99.91645781119465	99.89559406974315	4784	3	0	2	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__mat__ID.1	133485	138274	100.0	99.93735644184589	99.91649269311064	4786	0	1	3	1	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__mat__ID.1	139040	143833	99.95822017965322	99.93734335839599	99.83308992280409	4785	2	0	6	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	138978	143771	99.95822017965322	99.93734335839599	99.83308992280409	4785	2	0	6	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	144550	149343	99.93733026947984	99.91645781119465	99.8122261631546	4784	3	0	6	0	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	133858	138639	99.93725162099979	99.91635299038059	99.81199080843952	4778	3	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	133431	138212	99.93725162099979	99.91635299038059	99.81199080843952	4778	3	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	133446	138227	99.93725162099979	99.91635299038059	99.81199080843952	4778	3	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	139405	144186	99.93725162099979	99.91635299038059	99.81199080843952	4778	3	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	150509	155298	99.95818523938951	99.91640543364682	99.74963488420613	4781	2	4	6	1	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG01109__mat__ID.1	133826	138607	99.89541936833298	99.87452948557089	99.77021098809276	4776	5	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03492__pat__ID.1	133414	138195	99.89541936833298	99.87452948557089	99.77021098809276	4776	5	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__pat__ID.1	133429	138210	99.89541936833298	99.87452948557089	99.77021098809276	4776	5	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__pat__ID.1	133403	138184	99.89541936833298	99.87452948557089	99.77021098809276	4776	5	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA19240__pat__ID.1	133443	138224	99.89541936833298	99.87452948557089	99.77021098809276	4776	5	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__GRCh38chrOnly__pri__ID.1	148826	153609	99.81183357725277	99.79096989966555	99.72843116774598	4774	9	4	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	177874	182655	99.83267098933277	99.81179422835633	99.70754125757259	4773	8	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	178276	183057	99.83267098933277	99.81179422835633	99.70754125757259	4773	8	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	177869	182650	99.81175486299938	99.79088247595149	99.6866513473992	4772	9	6	0	1	0
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	150096	154889	99.95819397993311	99.81214777708203	99.70809007506256	4782	2	3	9	3	4
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	183421	188209	98.57829813924316	98.49592646751618	98.39315525876461	4715	68	4	5	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__mat__ID.1	161260	166040	98.53525842226408	98.45285385741167	98.3500417710944	4709	70	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	161217	166003	98.49466861802216	98.41236682682265	98.35073068893529	4711	72	4	3	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	167172	171958	98.49466861802216	98.41236682682265	98.35073068893529	4711	72	4	3	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	183823	188601	98.5346451747959	98.45220665132817	98.30827067669173	4707	70	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	183416	188194	98.5346451747959	98.45220665132817	98.30827067669173	4707	70	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__GRCh38chrOnly__pri__ID.1	154375	159153	98.5346451747959	98.45220665132817	98.30827067669173	4707	70	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	166765	171551	98.47376123771691	98.39147691664925	98.32985386221294	4710	73	4	3	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG01109__mat__ID.1	144920	149700	98.4934086629002	98.41103909680118	98.30827067669173	4707	72	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__pat__ID.1	138976	143754	98.51371153443584	98.43129052499476	98.28738512949039	4706	71	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	172724	177510	98.45285385741167	98.37058700647587	98.3089770354906	4709	74	4	3	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	172322	177108	98.45285385741167	98.37058700647587	98.3089770354906	4709	74	4	3	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	200055	204837	98.45220665132817	98.36990595611286	98.30827067669173	4707	74	6	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	200462	205244	98.45220665132817	98.36990595611286	98.30827067669173	4707	74	6	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	194914	199696	98.45220665132817	98.36990595611286	98.30827067669173	4707	74	6	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	194520	199302	98.45220665132817	98.36990595611286	98.30827067669173	4707	74	6	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	194507	199289	98.45220665132817	98.36990595611286	98.30827067669173	4707	74	6	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	200068	204850	98.45220665132817	98.36990595611286	98.30827067669173	4707	74	6	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA19240__pat__ID.1	144537	149317	98.47248378321825	98.39013171649593	98.28738512949039	4706	73	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	166770	171556	98.43194647710642	98.34969709630249	98.28810020876827	4708	75	4	3	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	172317	177103	98.43194647710642	98.34969709630249	98.28810020876827	4708	75	4	3	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03492__pat__ID.1	138961	143741	98.51371153443584	98.41070681723129	98.2463465553236	4706	71	10	3	3	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__pat__ID.1	138950	143730	98.51371153443584	98.41070681723129	98.2463465553236	4706	71	10	3	3	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03125__pat__ID.1	144846	149630	98.36922433619067	98.30756372753865	98.26649958228906	4705	78	4	1	2	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03125__pat__ID.1	139296	144080	98.36922433619067	98.30756372753865	98.26649958228906	4705	78	4	1	2	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03125__pat__ID.1	155947	160729	98.41037439866136	98.32810867293625	98.26649958228906	4705	76	6	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA19240__pat__ID.1	138990	143771	98.51402260359983	98.39046822742475	98.26722338204593	4707	71	9	3	4	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__pat__ID.1	194416	199198	98.41037439866136	98.32810867293625	98.26649958228906	4705	76	6	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__pat__ID.1	161155	165937	98.41037439866136	98.32810867293625	98.26649958228906	4705	76	6	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	206010	210790	98.43063402385437	98.34831695588542	98.24561403508773	4704	75	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG01109__mat__ID.1	156012	160792	98.43063402385437	98.34831695588542	98.24561403508773	4704	75	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA19240__pat__ID.1	150083	154863	98.43063402385437	98.34831695588542	98.24561403508773	4704	75	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	205616	210396	98.43063402385437	98.34831695588542	98.24561403508773	4704	75	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG01109__mat__ID.1	150466	155246	98.43063402385437	98.34831695588542	98.24561403508773	4704	75	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__pat__ID.1	155583	160363	98.43063402385437	98.34831695588542	98.24561403508773	4704	75	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__pat__ID.1	188890	193668	98.45091061335566	98.36854214599457	98.22472848788638	4703	74	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__GRCh38chrOnly__pri__ID.1	143282	148060	98.45091061335566	98.36854214599457	98.22472848788638	4703	74	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__pat__ID.1	188866	193650	98.34831695588542	98.28666945257	98.24561403508773	4704	79	4	1	2	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03492__pat__ID.1	188880	193664	98.34831695588542	98.28666945257	98.24561403508773	4704	79	4	1	2	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03125__pat__ID.1	150397	155181	98.34831695588542	98.28666945257	98.24561403508773	4704	79	4	1	2	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM1__pri__ID.1	144864	149648	98.34831695588542	98.28666945257	98.24561403508773	4704	79	4	1	2	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03125__pat__ID.1	133744	138530	98.39013171649593	98.30791727595572	98.2463465553236	4706	77	4	3	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__pat__ID.1	216609	221393	98.34831695588542	98.28666945257	98.24561403508773	4704	79	4	1	2	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03492__pat__ID.1	211075	215859	98.34831695588542	98.28666945257	98.24561403508773	4704	79	4	1	2	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG01109__mat__ID.1	139373	144154	98.4930933444956	98.3695652173913	98.2463465553236	4706	72	9	3	4	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03492__pat__ID.1	155594	160374	98.40970914417242	98.32740957558018	98.22472848788638	4703	76	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03492__pat__ID.1	161140	165920	98.40970914417242	98.32740957558018	98.22472848788638	4703	76	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__pat__ID.1	150065	154847	98.45155890353631	98.34866220735786	98.22546972860125	4705	74	8	3	3	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03125__pat__ID.1	189207	193987	98.40970914417242	98.32740957558018	98.22472848788638	4703	76	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	216685	221463	98.4299769729956	98.34762601966116	98.20384294068505	4702	75	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03125__pat__ID.1	167037	171815	98.4299769729956	98.34762601966116	98.20384294068505	4702	75	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM13__pri__ID.1	211556	216334	98.4299769729956	98.34762601966116	98.20384294068505	4702	75	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__pat__ID.1	166703	171481	98.4299769729956	98.34762601966116	98.20384294068505	4702	75	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__mat__ID.1	250011	254789	98.4299769729956	98.34762601966116	98.20384294068505	4702	75	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__pat__ID.1	161129	165907	98.4299769729956	98.34762601966116	98.20384294068505	4702	75	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03125__pat__ID.1	216933	221711	98.4299769729956	98.34762601966116	98.20384294068505	4702	75	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03125__pat__ID.1	222477	227255	98.4299769729956	98.34762601966116	98.20384294068505	4702	75	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03492__pat__ID.1	216625	221401	98.45026178010471	98.36785938480854	98.1829573934837	4701	74	12	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__pat__ID.1	222159	226935	98.45026178010471	98.36785938480854	98.1829573934837	4701	74	12	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	233318	238104	98.36922433619067	98.28702736578232	98.22546972860125	4705	78	4	3	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG02080__pat__ID.1	188960	193741	98.41004184100419	98.30721003134796	98.24561403508773	4704	76	7	1	4	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03492__pat__ID.1	194430	199211	98.41004184100419	98.30721003134796	98.24561403508773	4704	76	7	1	4	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__pat__ID.1	199964	204745	98.41004184100419	98.30721003134796	98.24561403508773	4704	76	7	1	4	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA19240__pat__ID.1	155630	160409	98.43030556718293	98.32740957558018	98.22472848788638	4703	75	9	1	4	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__CHM1__pri__ID.1	139318	144098	98.38878426449048	98.30650219527493	98.20384294068505	4702	77	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03125__pat__ID.1	211387	216167	98.38878426449048	98.30650219527493	98.20384294068505	4702	77	8	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG03492__pat__ID.1	222168	226946	98.40904333263555	98.32670989332776	98.1829573934837	4701	76	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__pat__ID.1	183336	188124	98.36922433619067	98.28702736578232	98.18447412353923	4705	78	4	5	2	2
chr6:161,894,200-161,898,986	0	4787	4787	LPA__HG00733__pat__ID.1	227701	232479	98.40904333263555	98.32670989332776	98.1829573934837	4701	76	10	1	3	1
chr6:161,894,200-161,898,986	0	4787	4787	LPA__NA12878__mat__ID.1	183434	188222	98.36922433619067	98.28702736578232	98.18447412353923	4705	78	4	5	2	2
